,Average_Temperature,Average_Humidity,Precipitation,date
0,80.0,67.0,0.0,2015-01-01
1,80.0,73.0,0.0,2015-01-02
2,78.0,90.0,0.0,2015-01-03
3,75.0,83.0,0.0,2015-01-04
4,74.0,88.0,0.0,2015-01-05
5,76.0,86.0,0.0,2015-01-06
6,76.0,81.0,0.0,2015-01-07
7,76.0,75.0,0.0,2015-01-08
8,80.0,70.0,0.0,2015-01-09
9,83.0,69.0,0.0,2015-01-10
10,82.0,77.0,0.0,2015-01-11
11,80.0,76.0,0.0,2015-01-12
12,78.0,73.0,0.0,2015-01-13
13,80.0,78.0,0.0,2015-01-14
14,80.0,81.0,0.0,2015-01-15
15,79.0,80.0,0.0,2015-01-16
16,80.0,71.0,0.0,2015-01-17
17,82.0,71.0,0.0,2015-01-18
18,83.0,64.0,0.0,2015-01-19
19,82.0,71.0,0.0,2015-01-20
20,78.0,78.0,0.0,2015-01-21
21,72.0,89.0,0.0,2015-01-22
22,72.0,88.0,0.0,2015-01-23
23,74.0,86.0,0.0,2015-01-24
24,74.0,75.0,0.0,2015-01-25
25,75.0,78.0,0.0,2015-01-26
26,74.0,77.0,0.0,2015-01-27
27,76.0,75.0,0.0,2015-01-28
28,77.0,74.0,0.0,2015-01-29
29,74.0,83.0,0.0,2015-01-30
30,72.0,90.0,0.0,2015-01-31
31,76.0,85.0,0.0,2015-02-01
32,72.0,91.0,0.0,2015-02-02
33,73.0,87.0,0.0,2015-02-03
34,70.0,88.0,0.0,2015-02-04
35,68.0,93.0,0.0,2015-02-05
36,72.0,91.0,0.0,2015-02-06
37,73.0,85.0,0.0,2015-02-07
38,75.0,87.0,0.0,2015-02-08
39,75.0,87.0,0.0,2015-02-09
40,75.0,88.0,0.0,2015-02-10
41,78.0,75.0,0.0,2015-02-11
42,79.0,74.0,0.0,2015-02-12
43,79.0,83.0,0.0,2015-02-13
44,78.0,83.0,0.0,2015-02-14
45,73.0,87.0,0.0,2015-02-15
46,73.0,89.0,0.0,2015-02-16
47,74.0,88.0,0.0,2015-02-17
48,73.0,89.0,0.0,2015-02-18
49,74.0,81.0,0.0,2015-02-19
50,76.0,75.0,0.0,2015-02-20
51,78.0,80.0,0.0,2015-02-21
52,77.0,79.0,0.0,2015-02-22
53,78.0,78.0,0.0,2015-02-23
54,75.0,83.0,0.0,2015-02-24
55,76.0,86.0,0.0,2015-02-25
56,75.0,82.0,0.0,2015-02-26
57,76.0,81.0,0.0,2015-02-27
58,73.0,87.0,0.0,2015-02-28
59,71.0,81.0,0.0,2015-03-01
60,72.0,80.0,0.0,2015-03-02
61,75.0,82.0,0.0,2015-03-03
62,75.0,81.0,0.0,2015-03-04
63,76.0,79.0,0.0,2015-03-05
64,74.0,87.0,0.0,2015-03-06
65,75.0,94.0,0.0,2015-03-07
66,72.0,92.0,0.0,2015-03-08
67,72.0,92.0,0.0,2015-03-09
68,73.0,87.0,0.0,2015-03-10
69,75.0,85.0,0.0,2015-03-11
70,72.0,88.0,0.0,2015-03-12
71,74.0,90.0,0.0,2015-03-13
72,73.0,88.0,0.0,2015-03-14
73,72.0,91.0,0.0,2015-03-15
74,74.0,89.0,0.0,2015-03-16
75,70.0,87.0,0.0,2015-03-17
76,70.0,91.0,0.0,2015-03-18
77,72.0,89.0,0.0,2015-03-19
78,72.0,90.0,0.0,2015-03-20
79,70.0,91.0,0.0,2015-03-21
80,68.0,94.0,0.0,2015-03-22
81,66.0,85.0,0.0,2015-03-23
82,70.0,83.0,0.0,2015-03-24
83,70.0,82.0,0.0,2015-03-25
84,74.0,79.0,0.0,2015-03-26
85,74.0,78.0,0.0,2015-03-27
86,74.0,81.0,0.0,2015-03-28
87,73.0,91.0,0.0,2015-03-29
88,72.0,88.0,0.0,2015-03-30
89,75.0,81.0,0.0,2015-03-31
90,73.0,80.0,0.0,2015-04-01
91,68.0,81.0,0.0,2015-04-02
92,68.0,85.0,0.0,2015-04-03
93,74.0,80.0,0.0,2015-04-04
94,73.0,83.0,0.0,2015-04-05
95,72.0,81.0,0.0,2015-04-06
96,64.0,90.0,0.0,2015-04-07
97,65.0,82.0,0.0,2015-04-08
98,68.0,85.0,0.0,2015-04-09
99,68.0,86.0,0.0,2015-04-10
100,72.0,81.0,0.0,2015-04-11
101,68.0,87.0,0.0,2015-04-12
102,70.0,85.0,0.0,2015-04-13
103,73.0,83.0,0.0,2015-04-14
104,74.0,85.0,0.0,2015-04-15
105,71.0,92.0,0.0,2015-04-16
